idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,matricula_siieweb,matricula_911,matricula_base_2024_2025,fuente_matricula_base,nivel_proyeccion,participacion_grupo,tasa_ajustada_pct,estado_proyeccion,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,mat_2024_2025,mat_2035_2036,crecimiento_2024_2025_a_2025_2026_pct,crecimiento_2025_2026_a_2026_2027_pct,crecimiento_2026_2027_a_2027_2028_pct,crecimiento_2027_2028_a_2028_2029_pct,crecimiento_2028_2029_a_2029_2030_pct,crecimiento_2029_2030_a_2030_2031_pct,crecimiento_2030_2031_a_2031_2032_pct,crecimiento_2031_2032_a_2032_2033_pct,crecimiento_2032_2033_a_2033_2034_pct,crecimiento_2033_2034_a_2034_2035_pct,crecimiento_2034_2035_a_2035_2036_pct,cambio_absoluto_2024_2025_a_2035_2036,crecimiento_acumulado_2024_2025_a_2035_2036_pct,tasa_media_anual_pct,tendencia_general,observaciones
802228,09DES0052N,,,,ANTONIO CASO,Secundaria,Milpa Alta,-98.990292,19.176915,492,491,492,SIIEWEB,Secundaria,0.06311738293778063,-0.5645,OK,0900900360242,009,0242,504,473,-0.5952,-0.5988,-0.6024,-0.404,-0.6085,-0.6122,-0.616,-0.6198,-0.4158,-0.6263,-0.6303,-31.0,-6.1508,-0.5754,Disminución,Diferencia entre SIIEWeb (492) y Estadística 911 (491); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802229,09DPR2031V,09DPR5154Z,,,BENITO JUÁREZ,Primaria,Milpa Alta,-99.070625,19.206538,537,597,597,911,Primaria,0.043033230015137314,-0.7763,OK,090090015012A,009,012A,654,600,-0.7645,-0.7704,-0.9317,-0.627,-0.7886,-0.7949,-0.8013,-0.8078,-0.8143,-0.821,-0.6623,-54.0,-8.2569,-0.7804,Disminución,Diferencia entre SIIEWeb (537) y Estadística 911 (597); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802230,09DJN0983O,,,,CALNAHUAC,Preescolar,Milpa Alta,-99.028389,19.190339,196,198,198,911,Preescolar,0.0601640838650866,-2.2366,OK,0900900010312,009,0312,246,191,-2.439,-2.0833,-2.5532,-2.1834,-2.2321,-2.2831,-1.8692,-2.381,-2.439,-2.0,-2.551,-55.0,-22.3577,-2.2743,Disminución,Diferencia entre SIIEWeb (196) y Estadística 911 (198); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802231,09DJN0961C,,,,CELIC,Preescolar,Milpa Alta,-99.005165,19.199709,132,150,150,911,Preescolar,0.04557885141294439,-2.2366,OK,0900900170365,009,0365,186,145,-2.1505,-2.1978,-2.2472,-2.2989,-2.3529,-2.4096,-1.8519,-2.5157,-1.9355,-2.6316,-2.027,-41.0,-22.043,-2.2383,Disminución,Diferencia entre SIIEWeb (132) y Estadística 911 (150); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802232,09DML0001W,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 44,Especial - CAM,Milpa Alta,-99.06555,19.185286,139,141,141,911,Especial,1.0,4.0236,OK,0900900240219,009,0219,806,1244,3.9702,4.0573,4.0138,4.0794,4.0254,3.9715,4.0157,4.049,4.0724,4.0,4.0134,438.0,54.3424,4.0244,Crecimiento,Diferencia entre SIIEWeb (139) y Estadística 911 (141); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802233,09DJN0655V,09DJN1356D,,,CUAUHTZIN,Preescolar,Milpa Alta,-99.089061,19.192799,289,282,289,SIIEWEB,Preescolar,0.08781525372227286,-2.2366,OK,0900900330346,009,0346,358,279,-2.2346,-2.0,-2.3324,-2.3881,-2.1407,-2.1875,-2.2364,-2.2876,-2.3411,-2.0548,-2.4476,-79.0,-22.067,-2.2411,Disminución,Diferencia entre SIIEWeb (289) y Estadística 911 (282); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802234,09DPR3127O,09DPR3128N,,,CULTURA AZTECA,Primaria,Milpa Alta,-99.021289,19.187906,846,903,903,911,Primaria,0.06509046349023283,-0.7763,OK,0900900010331,009,0331,989,907,-0.8089,-0.8155,-0.7194,-0.8282,-0.7307,-0.8412,-0.7423,-0.7479,-0.7535,-0.8677,-0.7659,-82.0,-8.2912,-0.7837,Disminución,Diferencia entre SIIEWeb (846) y Estadística 911 (903); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802235,09DES0037V,09DES4037W,,,EMILIANO ZAPATA,Secundaria,Milpa Alta,-99.024223,19.1885,1389,1377,1389,SIIEWEB,Secundaria,0.17819114817190507,-0.5645,OK,0900900010312,009,0312,1422,1336,-0.5626,-0.5658,-0.569,-0.5722,-0.5755,-0.5789,-0.5095,-0.5852,-0.5887,-0.5181,-0.5952,-86.0,-6.0478,-0.5655,Disminución,Diferencia entre SIIEWeb (1389) y Estadística 911 (1377); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802236,09DST0018Z,09DST0018Z,,,ESCUELA SECUNDARIA TÉCNICA 18,Secundaria,Milpa Alta,-99.071222,19.183081,1009,1064,1064,911,Secundaria,0.13649775497113534,-0.5645,OK,0900900240219,009,0219,1089,1024,-0.551,-0.554,-0.5571,-0.5602,-0.5634,-0.5666,-0.5698,-0.5731,-0.5764,-0.5797,-0.4859,-65.0,-5.9688,-0.5579,Disminución,Diferencia entre SIIEWeb (1009) y Estadística 911 (1064); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
802237,09DJN0657T,,,,ETELVINA R. OSORIO,Preescolar,Milpa Alta,-99.04869,19.200726,265,267,267,911,Preescolar,0.08113035551504102,-2.2366,OK,090090029044A,009,044A,331,258,-2.1148,-2.4691,-2.2152,-1.9417,-2.3102,-2.3649,-2.0761,-2.4735,-2.1739,-2.2222,-2.2727,-73.0,-22.0544,-2.2396,Disminución,Diferencia entre SIIEWeb (265) y Estadística 911 (267); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
